FC000001,서울특별시 서초구 남부순환로 2406 (서초동),예술의전당 [서울],37.4786896,127.01182410000001,02-580-1300
FC000003,서울특별시 중구 장충단로 59 (장충동2가),국립극장,37.5523153,126.99963600000001,02-2280-4114
FC000010,서울특별시 광진구 천호대로 664 (능동),유니버설아트센터,37.5505555,127.08826240000008,070-7124-1740
FC000016,경기도 성남시 분당구 성남대로 808 (야탑동),성남아트센터,37.4027309,127.13124349999998,031-783-8000
FC000017,경기도 수원시 팔달구 효원로307번길 20 (인계동) 경기도문화의전당,경기아트센터(구. 경기도문화의전당),37.2618899,127.0374319,031-230-3200
FC000018,경기도 안산시 단원구 화랑로 312 (고잔동),안산문화예술의전당,37.3196723,126.82255570000007,031-481-4000
FC000019,경기도 의정부시 의정로 1 (의정부동),의정부예술의전당,37.7334125,127.03436779999993,031-828-5841
FC000020,서울특별시 종로구 세종대로 175 (세종로),세종문화회관,37.5725254,126.97564290000003,02-399-1000
FC000021,경기도 안양시 만안구 문예로36번길 16 (안양동),안양아트센터,37.3845562,126.93136809999999,031-687-0500
FC000028,서울특별시 강동구 동남로 870 (상일동),강동아트센터,37.5512621,127.15761910000003,02-440-0500
FC000031,서울특별시 용산구 이태원로 294 (한남동),블루스퀘어,37.5408717,127.00244010000006,00-1544-1591
FC000032,서울특별시 강북구 삼각산로 85 (수유동),강북문화예술회관,37.6407764,127.01315840000007,02-944-8979
FC000057,경기도 용인시 수지구 포은대로 499 (죽전동),용인포은아트홀,37.3256631,127.10469480000006,031-260-3351
FC000068,광주광역시 남구 천변좌로338번길 7 (구동),빛고을시민문화관,35.1481359,126.90864540000007,062-670-7931
FC000071,경기도 광명시 시청로 20 (철산동),광명시민회관,37.4770159,126.86367769999993,02-2621-8800
FC000073,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층,롤링홀,37.5484417,126.92010579999999,02-325-6071
FC000076,대전광역시 서구 둔산대로 135 (만년동),대전예술의전당,36.3665211,127.3837135,042-270-8333
FC000081,울산광역시 남구 번영로 200 (달동),울산문화예술회관,35.5429378079717,129.327089892733,052-266-8282
FC000082,서울특별시 마포구 창전로 14 (신정동) CJ아지트,CJ아지트 광흥창,37.5442311,126.93044699999996,02-3272-2616
FC000095,경기도 하남시 신평로 125 (덕풍동),하남문화예술회관,37.544736,127.20683669999994,031-790-7979
FC000100,서울특별시 서초구 명달로 104 (서초동),모차르트홀,37.4855919,127.00420350000002,02-3472-8222
FC000110,경기도 광주시 회안대로 891 (송정동),남한산성아트홀,37.4270408,127.25507500000003,031-760-4466
FC000127,경기도 고양시 일산동구 중앙로 1286 (마두동) 고양아람누리,고양아람누리,37.6614074,126.77433789999998,00-1577-7766
FC000138,서울특별시 마포구 월드컵로26길 39 (성산동),성미산마을극장 향,37.5594242,126.90989319999994,02-322-0345
FC000167,부산광역시 남구 유엔평화로76번길 1 (대연동),부산문화회관,35.127275,129.09361390000004,051-607-6000
FC000180,서울특별시 종로구 혜화로9길 7 (명륜1가),나온씨어터,37.5876677,126.99939259999996,02-3675-3677
FC000183,대구광역시 달서구 문화회관길 160 (장기동),달서아트센터 (구. 웃는얼굴아트센터),35.84337790000001,128.52284439999994,053-584-8715
FC000191,대구광역시 달서구 공원순환로 201 (성당동),대구문화예술회관,35.8446585,128.55874089999998,053-606-6114
FC000204,대구광역시 수성구 무학로 180 (지산동),수성아트피아,35.8295426,128.62841500000002,053-666-3300
FC000205,서울특별시 광진구 구천면로 20 (광장동),예스24 라이브홀 (구. 악스코리아),37.5456881,127.1079671,02-457-5114
FC000218,서울특별시 도봉구 도봉로 552 (창동),도봉구민회관,37.6540005,127.03860439999994,02-901-5160
FC000240,경기도 과천시 상하벌로 110 (과천동),국립과천과학관,37.4382454,127.0059149,02-3677-1500
FC000251,서울특별시 중랑구 면목로 238 (면목동),중랑구민회관,37.5739185,127.0850931,02-2207-6130
FC000260,제주특별자치도 제주시 동광로 69 (일도이동),제주문예회관,33.5043089,126.53538589999994,064-710-7641
FC000328,서울특별시 마포구 어울마당로 65 (서교동),KT&G 상상마당 라이브홀 [마포],37.550925,126.92114200000003,02-2014-2024
FC000332,경기도 평택시 경기대로 1366 (서정동),평택시북부문예회관,37.0668137,127.06494380000004,031-8053-3570
FC000358,강원도 속초시 번영로 155 (영랑동),속초문화예술회관,38.2127835,128.58869170000003,033-639-2080
FC000362,서울특별시 종로구 혜화로5길 5 (명륜1가),선돌극장,37.5867715,126.99974999999995,02-747-3226
FC000375,강원특별자치도 태백시 고원로 203 (황지동),태백문화예술회관,37.1719185,128.9880057,033-552-1360
FC000384,서울특별시 영등포구 여의공원로 101 (여의도동),영산아트홀,37.5292309,126.92487210000002,02-6181-5260
FC000402,서울특별시 종로구 종로33길 15 (연지동),두산아트센터,37.571729,127.00118929999996,02-708-5001
FC000405,충청북도 충주시 중앙로 128 (성내동),충주시문화회관,36.9707081,127.93725459999996,043-850-3914
FC000420,광주광역시 서구 내방로 152 (쌍촌동),5.18기념문화센터,35.1570531,126.85815600000001,062-376-5197
FC000424,충청남도 당진시 무수동2길 25-21 (읍내동),당진문예의전당,36.8901441,126.63786579999999,041-350-2911
FC000436,광주광역시 서구 풍금로 182 (금호동),빛고을국악전수관,35.1320275,126.85982430000001,062-350-4557
FC000437,충청남도 천안시 서북구 성환읍 성진로 15,천안시성환문화회관,36.9128883,127.13722340000004,041-521-3745
FC000474,충청남도 천안시 서북구 번영로 156 (불당동),천안시청 봉서홀,36.8156927,127.11368679999998,00-1577-3900
FC000477,전라북도 전주시 덕진구 소리로 31 (덕진동1가) 소리문화전당,한국소리문화의전당,35.855245,127.13766699999996,063-270-8000
